timestamp, left_velocity, right_velocity, target_left_velocity, target_right_velocity
1.500000000,-1.09157e-07,-3.26622e-05,0,0
1.534000000,-7.50568e-08,-2.2248e-05,0,0
1.567000000,-5.27488e-08,-1.47179e-05,0,0
1.600000000,-4.515e-08,-1.00537e-05,0,0
1.634000000,-4.63271e-08,-8.57995e-06,0,0
1.667000000,-5.7361e-08,-5.97368e-06,0,0
1.700000000,-6.71382e-08,-4.98063e-06,0,0
1.734000000,-9.68803e-08,-3.44346e-06,0,0
1.767000000,-1.1817e-07,9.37152e-06,0,0
1.800000000,-1.15927e-07,7.37985e-06,0,0
1.834000000,-1.05817e-07,6.29606e-06,0,0
1.869000000,-8.15593e-08,4.35819e-06,0,0
1.900000000,-6.92113e-08,3.54746e-06,0,0
1.934000000,-4.88041e-08,2.38981e-06,0,0
1.967000000,-3.44233e-08,1.55757e-06,0,0
2.0,-3.10595e-08,1.28289e-06,0,0
2.34000000,-3.11268e-08,8.44292e-07,0,0
2.67000000,-4.14264e-08,5.24999e-07,0,0
2.100000000,-5.03799e-08,4.1667e-07,0,0
2.134000000,-8.28158e-08,1.32047e-05,0,0
2.167000000,-9.72911e-08,1.07477e-05,0,0
2.200000000,-9.15954e-08,7.47137e-06,0,0
2.234000000,-8.51414e-08,6.34136e-06,0,0
2.267000000,-6.80279e-08,4.38465e-06,0,0
2.300000000,-5.12375e-08,3.01942e-06,0,0
2.334000000,-4.48812e-08,2.56364e-06,0,0
2.367000000,-3.48026e-08,1.76913e-06,0,0
2.400000000,-3.21046e-08,1.20588e-06,0,0
2.434000000,-3.4137e-08,1.02148e-06,0,0
2.467000000,-4.5532e-08,6.8633e-07,0,0
2.500000000,-5.5102e-08,5.45714e-07,0,0
2.534000000,-8.27515e-08,3.26135e-07,0,0
2.567000000,-5.79288e-07,0.000249742,0,0
2.600000000,6.35613e-08,0.00019268,0,0
2.634000000,5.67363e-08,0.000164518,0,0
2.667000000,4.66159e-08,0.000137781,0,0
2.700000000,2.86049e-08,9.1932e-05,0,0
2.734000000,1.29141e-08,5.85143e-05,0,0
2.767000000,4.13207e-07,7.69028e-05,0,0
2.800000000,-9.88553e-08,5.53952e-05,0,0
2.834000000,-8.9476e-08,4.72613e-05,0,0
2.868000000,-6.38631e-08,3.27099e-05,0,0
2.900000000,-5.40226e-08,2.70551e-05,0,0
2.934000000,-4.19687e-08,1.84021e-05,0,0
2.967000000,-2.44929e-08,6.8103e-05,0,0
3.0,-1.76015e-08,5.13489e-05,0,0
3.34000000,-1.43048e-08,4.34717e-05,0,0
3.67000000,-9.66915e-09,3.00996e-05,0,0
3.100000000,9.15577e-07,9.14605e-05,0,0
3.135000000,-1.22569e-07,7.34812e-05,0,0
