#33.7872206317,-84.4059438933
#33.7871938383,-84.4061946033
#33.7873257033, -84.40596121
#33.7874183083, -84.406307115
#42.6785192010, -83.1954101921
#42.6782470225, -83.1953990408
#42.6781036, -83.1954691
#42.6784602, -83.1946805
# quals
#42.6782191223, -83.1955080989

# parking lot start
#33.7872523, -84.406461795

# p1
#33.7872660915, -84.4066058544

#p2
#33.7873060948, -84.40678956

#p3
#33.7873185961, -84.4069968251

# p4
#33.7874426834, -84.4069728324

# pFive (five key is broken)
#33.7874514702, -84.406608273

# p6
#33.7874295302, -84.4061920366

# p7
#33.787252605, -84.4060825642

# parking lot end
#33.7872534074, -84.4063491636

# Johns Creek Field
34.0051342117, -84.19700657
34.0053400733, -84.19714854

34.0051342117, -84.19700657
34.0053400733, -84.19714854

34.0051342117, -84.19700657
34.0053400733, -84.19714854




#test
